aalib,gpm;slang;xorg;
abiword,boost;curl;dbus-glib;enchant;evolution-data-server;fribidi;gobject-introspection;goffice;libchamplain;libgcrypt;libical;libsoup;redland;telepathy-glib;valgrind;wv;
accountsservice,gobject-introspection;gtk-doc;libgcrypt;polkit;systemd;xmlto;
acl,
acpid,
adns,
adwaita-icon-theme,git;gtk+2;gtk+3;icontool;inkscape;librsvg;
alsa,
alsa-firmware,alsa-tools;
alsa-lib,alsa;doxygen;python2;
alsa-oss,alsa-lib;
alsa-plugins,alsa-lib;ffmpeg;libsamplerate;pulseaudio;speex;
alsa-tools,alsa-lib;fltk;gtk+2;gtk+3;
alsa-utils,alsa-lib;fftw;libsamplerate;xmlto;
amtk,gtk+3;gtk-doc;valgrind;
anytree,
apache,apr-util;berkeley-db;brotli;doxygen;libxml2;links;lua;lynx;nghttp2;openldap;pcre;rsync;
apache-ant,glib;java;openjdk;
apr,
apr-util,apr;berkeley-db;freetds;mariadb;openldap;postgresql;sqlite;unixodbc;
argon2,
ark,kde-frameworks;libarchive;
asciidoc,dblatex;docbook-xsl;fop;libxslt;lynx;
aspell,which;
asymptote,curl;fftw;freeglut;gc;ghostscript;glew;glm;gsl;libsigsegv;libtirpc;texlive;
at,linux-pam;sendmail;
at-spi2-atk,at-spi2-core;atk;
at-spi2-core,dbus;glib;gobject-introspection;gtk-doc;xorg-libraries;
atk,glib;gobject-introspection;gtk-doc;
atkmm,atk;glibmm;
attica,
attr,
audacious,alsa;curl;dbus;faad2;ffmpeg;flac;gnome-icon-theme;gtk+2;lame;libcdio;libnotify;libsamplerate;libsndfile;libvorbis;libxml2;mpg123;neon;pulseaudio;qt;sdl;valgrind;
audiofile,alsa-lib;asciidoc;flac;valgrind;
autoconf,
autoconf213,
autofs,cyrus-sasl;libtirpc;libxml2;mit-kerberos-v5;nfs-utils;openldap;rpcsvc-proto;
autogen,
automake,
avahi,doxygen;glib;gobject-introspection;gtk+2;gtk+3;libdaemon;libevent;libglade;python-dbus-python;python2-pygtk;qt;
babl,gobject-introspection;librsvg;little-cms;
baloo,
balsa,aspell;compface;enchant;gcr;gmime;gpgme;gtk+3;gtksourceview3;libcanberra;libnotify;libsecret;mit-kerberos-v5;openldap;pcre;procmail;rarian;sqlite;webkitgtk+;
baobab,adwaita-icon-theme;gtk+3;itstool;vala;
bash,
bash-completion,
bc,
bdftopcf,
beautifultable,python;
berkeley-db,sharutils;
biber,perl-autovivification;perl-business-isbn;perl-business-ismn;perl-business-issn;perl-class-accessor;perl-data-compare;perl-data-dump;perl-data-uniqid;perl-datetime-calendar-julian;perl-datetime-format-builder;perl-encode-eucjpascii;perl-encode-hanextra;perl-encode-jis2k;perl-file-slurper;perl-file-which;perl-io-string;perl-ipc-run3;perl-lingua-translit;perl-list-allutils;perl-list-moreutils;perl-log-log4perl;perl-lwp-protocol-https;perl-module-build;perl-parse-recdescent;perl-perlio-utf8-strict;perl-regexp-common;perl-sort-key;perl-test-differences;perl-text-bibtex;perl-text-csv;perl-text-roman;perl-unicode-collate;perl-unicode-linebreak;perl-xml-libxml-simple;perl-xml-libxslt;perl-xml-writer;texlive;
bind,berkeley-db;cmocka;curl;doxygen;json-c;libcap;libidn2;libuv;libxml2;libxslt;linux-pam;mariadb;mit-kerberos-v5;openldap;perl-net-dns;postgresql;sphinx;texlive;unixodbc;
bind-utilities,json-c;libcap;libuv;libxml2;sphinx;
bindfs,
binutils,
bison,
bluedevil,
bluefish,desktop-file-utils;enchant;gtk+2;gtk+3;gucharmap;pcre;
bluez,dbus;glib;libical;
bluez-qt,
bogofilter,berkeley-db;gsl;libxml2;lmdb;sqlite;xmlto;
bonjour,
boost,icu;openmpi;which;
botan,
brasero,gobject-introspection;gst-plugins-base;gtk-doc;itstool;libburn;libcanberra;libisoburn;libisofs;libnotify;nautilus;totem-pl-parser;tracker;
breeze,
breeze-grub,
breeze-gtk,
breeze-icons,extra-cmake-modules;kde-frameworks;qt;
breeze-plymouth,
bridge-utils,net-tools-cvs;
brotli,cmake;python2;
bspwm,libxcb;sxhkd;xcb-util;xcb-util-keysyms;xcb-util-wm;xorg;
btrfs-progs,asciidoc;lvm2;lzo;python2;reiserfsprogs;xmlto;
bubblewrap,
bzip2,
c-ares,cmake;
cairo,cogl;fontconfig;ghostscript;glib;gtk+2;gtk+3;gtk-doc;libdrm;libpng;librsvg;libxml2;lzo;mesa;pixman;poppler;qt;valgrind;xorg-libraries;
cairomm,boost;cairo;doxygen;libsigc++;
cantarell-fonts,
cbindgen,rustc;
cdparanoia-iii,
cdrdao,gtkmm;lame;libao;libmad;libvorbis;
cdrtools,alsa-lib;
check,
cheese,clutter-gst;clutter-gtk;gnome-desktop;gnome-video-effects;gobject-introspection;gst-plugins-bad;gst-plugins-good;gtk-doc;libcanberra;libgudev;libxslt;v4l-utils;vala;
chrony,
cifs-utils,keyutils;libcap;linux-pam;mit-kerberos-v5;samba;talloc;
clang,llvm;
clisp,libffcall;libsigsegv;
clucene,boost;cmake;
clutter,atk;cogl;gobject-introspection;gtk+3;gtk-doc;json-glib;libgudev;libinput;libxkbcommon;wayland;
clutter-gst,clutter;gobject-introspection;gst-plugins-bad;gst-plugins-base;gtk-doc;libgudev;
clutter-gtk,clutter;gobject-introspection;gtk+3;gtk-doc;
cmake,curl;git;libarchive;libuv;nghttp2;qt;sphinx;subversion;
cmocka,
cogl,cairo;gdk-pixbuf;glu;gobject-introspection;gst-plugins-base;gtk-doc;mesa;pango;sdl;sdl2;wayland;
colord,bash-completion;colord-gtk;dbus;glib;gnome-desktop;gobject-introspection;libgudev;libgusb;libxslt;little-cms;polkit;sane;sqlite;systemd;vala;
colord-gtk,colord;docbook-utils;gobject-introspection;gtk+2;gtk+3;gtk-doc;vala;
compface,
compiler-rt,llvm;
consolekit2,automake;gettext;glib;gobject-introspection;gtk-doc;libdrm;libgudev;libnotify;libxslt;linux-pam;pm-utils;polkit;xmlto;xorg;zlib;
coreutils,
cpio,texlive;
cracklib,python2;
cryptsetup,argon2;json-c;libpwquality;lvm2;passwdqc;popt;python2;
cssselect,
cuda,
cunit,
cups,avahi;colord;dbus;gnutls;libpaper;libusb;linux-pam;mit-kerberos-v5;openjdk;php;python2;xdg-utils;
cups-filters,avahi;cups;ghostscript;glib;libjpeg-turbo;libpng;libtiff;little-cms;mupdf;openldap;php;poppler;qpdf;
cups-pk-helper,cups;polkit;
curl,brotli;c-ares;gnutls;libidn2;libpsl;libssh2;make-ca;mit-kerberos-v5;nghttp2;openldap;samba;stunnel;valgrind;
cyrus-sasl,berkeley-db;dmalloc;krb4;linux-pam;mariadb;mit-kerberos-v5;openjdk;openldap;pod-pom-view-restructured;postgresql;sphinx;sqlite;
dash,libedit;
datefudge,
dblatex,
dbus,dbus-glib;doxygen;pygobject3;python-dbus-python;systemd;valgrind;xmlto;xorg-libraries;
dbus-glib,dbus;glib;gtk-doc;
